dataset,requested_activity,provider,measured_activity,measured_min,measured_max,speedup,speedup_min,speedup_max,latency_ms,seeds
flybrain,0.005,globalatomic_cudagraph,0.0058471608367775,0.0056093861575747,0.0062126277598655,3.6433577845892944,3.6419630465830086,3.6457947559987507,11.05340814590454,3
flybrain,0.01,globalatomic_cudagraph,0.0103705994074538,0.0101404603412459,0.0106626122970448,3.645623733828261,3.642959348548338,3.646394003700725,11.05243158340454,3
flybrain,0.02,globalatomic_cudagraph,0.0201449447846565,0.0201288846392429,0.0202666919571693,3.649984230055298,3.6487733610962967,3.6543481156147815,11.035024166107178,3
flybrain,0.05,globalatomic_cudagraph,0.0500742373177821,0.0499444882482562,0.0501480294596037,3.619097943764735,3.5970629994919814,3.633364452983584,11.132015705108644,3
flybrain,0.1,globalatomic_cudagraph,0.1000533534936057,0.1000263611790333,0.100058819578185,3.342179329984324,3.2913194931162626,3.422458672211672,12.054687976837158,3
flybrain,0.2,globalatomic_cudagraph,0.1999824521779585,0.1999732669018097,0.2000372539022208,2.2763725311853675,2.125916075306615,2.392892031635923,17.698959350585938,3
flybrain,0.005,persistent_spike_block,0.0058471608367775,0.0056093861575747,0.0062126277598655,9.027886731894851,8.862767678711368,9.393396810913115,4.461472034454346,3
flybrain,0.01,persistent_spike_block,0.0103705994074538,0.0101404603412459,0.0106626122970448,7.640155537426793,7.584137482179078,8.355192448279459,5.270495891571045,3
flybrain,0.02,persistent_spike_block,0.0201449447846565,0.0201288846392429,0.0202666919571693,6.773629335010206,6.694841283176835,7.013317583891904,5.948832035064697,3
flybrain,0.05,persistent_spike_block,0.0500742373177821,0.0499444882482562,0.0501480294596037,5.2858804371071555,5.264207086138614,5.396743452900599,7.617727994918823,3
flybrain,0.1,persistent_spike_block,0.1000533534936057,0.1000263611790333,0.100058819578185,4.027359622277969,4.020116163695181,4.062039215414787,10.003679752349854,3
flybrain,0.2,persistent_spike_block,0.1999824521779585,0.1999732669018097,0.2000372539022208,2.588204732272553,2.58560635071289,2.5961501241476674,15.56932783126831,3
flybrain,0.005,tilespmspv_cudagraph,0.0058471608367775,0.0056093861575747,0.0062126277598655,5.82681948242625,5.818884228441626,5.838537179778906,6.91265606880188,3
flybrain,0.01,tilespmspv_cudagraph,0.0103705994074538,0.0101404603412459,0.0106626122970448,5.730716722704111,5.728620859069605,5.742152686837367,7.026592016220093,3
flybrain,0.02,tilespmspv_cudagraph,0.0201449447846565,0.0201288846392429,0.0202666919571693,5.466772014787336,5.45815143858837,5.500146482353238,7.370928049087524,3
flybrain,0.05,tilespmspv_cudagraph,0.0500742373177821,0.0499444882482562,0.0501480294596037,4.673652804473614,4.6731928889588055,4.706929741475218,8.61561632156372,3
flybrain,0.1,tilespmspv_cudagraph,0.1000533534936057,0.1000263611790333,0.100058819578185,3.6429762853010845,3.630155231064702,3.650535171885425,11.059344291687012,3
flybrain,0.2,tilespmspv_cudagraph,0.1999824521779585,0.1999732669018097,0.2000372539022208,2.5554341347229266,2.5457202608877894,2.559047672631774,15.766176223754885,3
flybrain,0.005,vdha_cudagraph,0.0058471608367775,0.0056093861575747,0.0062126277598655,3.155361984134953,3.146904869429652,3.1607437899635715,12.76483154296875,3
flybrain,0.01,vdha_cudagraph,0.0103705994074538,0.0101404603412459,0.0106626122970448,3.1049563333966237,3.094918171463491,3.1160798426556053,12.968751907348633,3
flybrain,0.02,vdha_cudagraph,0.0201449447846565,0.0201288846392429,0.0202666919571693,3.0336398775173063,3.025469714904699,3.0343495515420726,13.28278398513794,3
flybrain,0.05,vdha_cudagraph,0.0500742373177821,0.0499444882482562,0.0501480294596037,2.572381415967384,2.570606103754331,2.608949396927638,15.660912036895752,3
flybrain,0.1,vdha_cudagraph,0.1000533534936057,0.1000263611790333,0.100058819578185,2.1257505585411507,2.0999580877580617,2.1324258216622662,18.952560424804688,3
flybrain,0.2,vdha_cudagraph,0.1999824521779585,0.1999732669018097,0.2000372539022208,1.4696154529577916,1.4574371659693826,1.475551687245756,27.41494369506836,3
microns_mm3,0.005,globalatomic_cudagraph,0.0048379265337729,0.0046672297578603,0.0049813014171995,2.8356874154921807,2.8354304608985283,2.8600489830711355,7.310944080352783,3
microns_mm3,0.01,globalatomic_cudagraph,0.009999877702005,0.0099996174935051,0.0100000078062549,2.8339176504090573,2.8332061126536,2.852384721452949,7.314064025878906,3
microns_mm3,0.02,globalatomic_cudagraph,0.0199994951955102,0.0199938356606381,0.0200009263422595,2.839008680454778,2.8379599134894904,2.853723927681944,7.302752017974853,3
microns_mm3,0.05,globalatomic_cudagraph,0.0499906064731548,0.0499468263930522,0.0500229373792632,2.844561665477271,2.8439156620461,2.8657643691415897,7.288496017456055,3
microns_mm3,0.1,globalatomic_cudagraph,0.1000041763464228,0.0999664461139421,0.100046720436151,2.8148087877585257,2.791999746444109,2.8231328736271375,7.372447967529297,3
