variant,grid_blocks,sm_count,blocks_per_sm,latency_ms,ncu_duration_ms,eligible_warps_per_scheduler,active_warps_per_scheduler,barrier_stall_cycles,barrier_stall_pct,tail_duration_ms,report
plain,170,170,1.0,4.254528045654297,2.585376,0.022162,1.99999,42.743661,46.04410224922441,0.0068785858056874035,results/grid_sweep/plain_170_blocks.ncu-rep
plain,340,170,2.0,4.2327680587768555,2.588768,0.031814,3.999903,72.493398,53.66708058488438,0.013802388660316236,results/grid_sweep/plain_340_blocks.ncu-rep
plain,510,170,3.0,4.328256130218506,2.632384,0.041352,5.999757,98.713086,59.23766941437806,0.008754755993608143,results/grid_sweep/plain_510_blocks.ncu-rep
plain,680,170,4.0,4.475552082061768,2.810816,0.049475,7.999583,124.99478,62.862045812935804,0.020852666984149934,results/grid_sweep/plain_680_blocks.ncu-rep
plain,850,170,5.0,4.724703788757324,3.056768,0.056437,9.999361,151.916986,65.36631755963144,0.01490303768956633,results/grid_sweep/plain_850_blocks.ncu-rep
binning,170,170,1.0,4.405344009399414,2.77232,0.020575,1.999991,52.613379,52.358036187637964,0.010065164981182519,results/grid_sweep/binning_170_blocks.ncu-rep
binning,340,170,2.0,4.424320220947266,2.860832,0.031434,3.999916,84.431217,60.44763495361063,0.009405173814588828,results/grid_sweep/binning_340_blocks.ncu-rep
binning,510,170,3.0,4.5984320640563965,3.086912,0.039926,5.999806,110.476641,61.949108874674806,0.020692109012426827,results/grid_sweep/binning_510_blocks.ncu-rep
binning,680,170,4.0,4.839072227478027,3.537856,0.046437,7.999668,140.818593,63.18687295168688,0.01576415929710097,results/grid_sweep/binning_680_blocks.ncu-rep
binning,850,170,5.0,5.130911827087402,4.0616,0.052589,9.999547,171.871828,63.956571467824546,0.022363323889634322,results/grid_sweep/binning_850_blocks.ncu-rep
spike_block,170,170,1.0,5.33568000793457,3.999744,0.02045,1.999993,71.884529,71.23804375294205,0.016910500701392692,results/grid_sweep/spike_block_170_blocks.ncu-rep
spike_block,340,170,2.0,5.540480136871338,4.176896,0.030892,3.999941,103.38646,74.24647676770888,0.022270077053133126,results/grid_sweep/spike_block_340_blocks.ncu-rep
spike_block,510,170,3.0,6.543007850646973,4.315328,0.03986,5.999857,124.811402,73.06446540421204,0.02463881940048677,results/grid_sweep/spike_block_510_blocks.ncu-rep
spike_block,680,170,4.0,8.348320007324219,4.690496,0.04602,7.999754,152.133737,72.10564126498464,0.057692953545783784,results/grid_sweep/spike_block_680_blocks.ncu-rep
spike_block,850,170,5.0,8.791711807250977,5.082464,0.052245,9.999627,178.831779,71.42285439350884,0.028100897412057256,results/grid_sweep/spike_block_850_blocks.ncu-rep
