device,torch_version,cuda_version,n_neuron,batch_size,t_steps,fanout,event_rate,variant,median_ms,p20_ms,p80_ms,speedup_vs_plain
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,8,0.02,plain,3.5896319150924683,3.585024118423462,3.59116792678833,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,8,0.02,binning,1.7663999795913696,1.6977920532226562,1.7786879539489746,2.0321738884546843
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,8,0.02,spike_block,1.6629760265350342,1.661952018737793,1.6660480499267578,2.158559027800179
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,plain,3.224063992500305,3.220479965209961,3.2286720275878906,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,binning,1.525759994983673,1.5144959688186646,1.6158720254898071,2.1130872503540803
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,spike_block,1.8508800268173218,1.8431999683380127,1.8575359582901,1.7419086844025433
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,32,0.02,plain,2.4432640075683594,2.4381439685821533,2.4483840465545654,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,32,0.02,binning,2.076672077178955,2.067456007003784,2.0951039791107178,1.1765285595246213
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,32,0.02,spike_block,2.086911916732788,2.08076810836792,2.0889599323272705,1.1707556931264576
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,64,0.02,plain,3.180031895637512,3.1385600566864014,3.2235519886016846,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,64,0.02,binning,3.482624053955078,3.1344640254974365,3.531775951385498,0.9131137459485689
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,64,0.02,spike_block,2.636288046836853,2.6275839805603027,2.6398720741271973,1.2062535804663188
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,plain,4.406783819198608,4.31001615524292,4.581376075744629,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,binning,5.722111940383911,5.455872058868408,6.047743797302246,0.7701324030551814
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,spike_block,3.805184006690979,3.772416114807129,3.8236160278320312,1.1581000580917467
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,255,0.02,plain,8.135168075561523,8.10700798034668,8.150015830993652,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,255,0.02,binning,12.071792125701904,11.669504165649414,12.270591735839844,0.6738989531008438
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,255,0.02,spike_block,6.765568017959595,6.597631931304932,6.789120197296143,1.2024368174211308
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,plain,7.1639039516448975,6.684671878814697,7.721983909606934,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,binning,7.384943962097168,6.774784088134766,7.809023857116699,0.9700688303680101
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,spike_block,7.156736135482788,7.115776062011719,7.219200134277344,1.0010015481954926
